Iout (VC=-0.3) X,Iout (VC=-0.3) Y,Iout (VC=-0.15) X,Iout (VC=-0.15) Y,Iout (VC=0) X,Iout (VC=0) Y,Iout (VC=0.15) X,Iout (VC=0.15) Y,Iout (VC=0.3) X,Iout (VC=0.3) Y
-0.2688000000000005,5.508924124776658e-10,-0.2688000000000005,5.476404629291312e-10,-0.2688000000000005,5.486093640461679e-10,-0.2688000000000005,5.573115877047076e-10,-0.2688000000000005,5.90499605011754e-10
-0.2682000000000005,5.510858496257415e-10,-0.2682000000000005,5.477766479506924e-10,-0.2682000000000005,5.487667446700984e-10,-0.2682000000000005,5.576273707670242e-10,-0.2682000000000005,5.913821719619037e-10
-0.2676000000000006,5.512831529440421e-10,-0.2676000000000006,5.479155979448849e-10,-0.2676000000000006,5.489272544471351e-10,-0.2676000000000006,5.579491082616922e-10,-0.2676000000000006,5.922804976371623e-10
-0.2670000000000006,5.514843961683855e-10,-0.2670000000000006,5.480573657848896e-10,-0.2670000000000006,5.490909523184496e-10,-0.2670000000000006,5.582769099733638e-10,-0.2670000000000006,5.931948655673349e-10
-0.2664000000000006,5.516896548729052e-10,-0.2664000000000006,5.482020051261234e-10,-0.2664000000000006,5.492578981779017e-10,-0.2664000000000006,5.586108878525329e-10,-0.2664000000000006,5.941255640971682e-10
-0.2658000000000006,5.518990055937114e-10,-0.2658000000000006,5.483495703591696e-10,-0.2658000000000006,5.494281531942111e-10,-0.2658000000000006,5.58951156199972e-10,-0.2658000000000006,5.950728868978136e-10
-0.2652000000000006,5.521125264164877e-10,-0.2652000000000006,5.48500117434569e-10,-0.2652000000000006,5.496017799662419e-10,-0.2652000000000006,5.592978310526243e-10,-0.2652000000000006,5.96037132938719e-10
-0.2646000000000006,5.523302972508536e-10,-0.2646000000000006,5.486537030647754e-10,-0.2646000000000006,5.497788418039601e-10,-0.2646000000000006,5.596510308777354e-10,-0.2646000000000006,5.97018606842227e-10
-0.2640000000000006,5.525523993668077e-10,-0.2640000000000006,5.488103850698376e-10,-0.2640000000000006,5.4995940343544e-10,-0.2640000000000006,5.600108761671651e-10,-0.2640000000000006,5.980176186375321e-10
-0.2634000000000006,5.52778915532807e-10,-0.2634000000000006,5.48970222601873e-10,-0.2634000000000006,5.501435308911415e-10,-0.2634000000000006,5.603774899516217e-10,-0.2634000000000006,5.99034484441903e-10
-0.2628000000000006,5.530099303856566e-10,-0.2628000000000006,5.491332758761834e-10,-0.2628000000000006,5.503312913847155e-10,-0.2628000000000006,5.60750997439897e-10,-0.2628000000000006,6.000695255039263e-10
-0.2622000000000007,5.532455295466664e-10,-0.2622000000000007,5.492996058420429e-10,-0.2622000000000007,5.505227534818956e-10,-0.2622000000000007,5.611315260411665e-10,-0.2622000000000007,6.011230696639982e-10
-0.2616000000000007,5.534858012578606e-10,-0.2616000000000007,5.494692752403361e-10,-0.2616000000000007,5.507179870429776e-10,-0.2616000000000007,5.615192057586831e-10,-0.2616000000000007,6.021954499928935e-10
-0.2610000000000007,5.537308347095607e-10,-0.2610000000000007,5.496423478359513e-10,-0.2610000000000007,5.509170632560806e-10,-0.2610000000000007,5.619141688322281e-10,-0.2610000000000007,6.032870065832378e-10
-0.2604000000000007,5.539807210720601e-10,-0.2604000000000007,5.49818888309294e-10,-0.2604000000000007,5.511200547188739e-10,-0.2604000000000007,5.623165504674811e-10,-0.2604000000000007,6.043980849832176e-10
-0.2598000000000007,5.542355532119691e-10,-0.2598000000000007,5.499989629134274e-10,-0.2598000000000007,5.513270351134663e-10,-0.2598000000000007,5.627264879460648e-10,-0.2598000000000007,6.05529037477606e-10
-0.2592000000000007,5.544954261614022e-10,-0.2592000000000007,5.50182639334495e-10,-0.2592000000000007,5.515380800173136e-10,-0.2592000000000007,5.631441210764325e-10,-0.2592000000000007,6.066802228452429e-10
-0.2586000000000007,5.547604361553819e-10,-0.2586000000000007,5.503699860712645e-10,-0.2586000000000007,5.517532659909128e-10,-0.2586000000000007,5.635695926363477e-10,-0.2586000000000007,6.07852006211622e-10
-0.2580000000000007,5.550306817682721e-10,-0.2580000000000007,5.505610732847495e-10,-0.2580000000000007,5.519726715496803e-10,-0.2580000000000007,5.640030479895895e-10,-0.2580000000000007,6.090447594866172e-10
-0.2574000000000007,5.553062633507929e-10,-0.2574000000000007,5.507559724680578e-10,-0.2574000000000007,5.521963762838537e-10,-0.2574000000000007,5.644446350449245e-10,-0.2574000000000007,6.102588616334105e-10
-0.2568000000000007,5.555872830758296e-10,-0.2568000000000007,5.5095475635317e-10,-0.2568000000000007,5.524244613815016e-10,-0.2568000000000007,5.648945048801972e-10,-0.2568000000000007,6.114946982980768e-10
-0.2562000000000008,5.558738452877835e-10,-0.2562000000000008,5.511574991475459e-10,-0.2562000000000008,5.526570098315714e-10,-0.2562000000000008,5.653528110138221e-10,-0.2562000000000008,6.12752662440105e-10
-0.2556000000000008,5.561660563656033e-10,-0.2556000000000008,5.51364276660488e-10,-0.2556000000000008,5.528941059534084e-10,-0.2556000000000008,5.658197099451651e-10,-0.2556000000000008,6.140331537083871e-10
-0.2550000000000008,5.564640245544963e-10,-0.2550000000000008,5.515751659551902e-10,-0.2550000000000008,5.531358358611833e-10,-0.2550000000000008,5.662953614673983e-10,-0.2550000000000008,6.15336579821989e-10
-0.2544000000000008,5.567678603067762e-10,-0.2544000000000008,5.517902456003223e-10,-0.2544000000000008,5.533822871407251e-10,-0.2544000000000008,5.667799277667982e-10,-0.2544000000000008,6.16663355405857e-10
-0.2538000000000008,5.570776761027449e-10,-0.2538000000000008,5.520095957896051e-10,-0.2538000000000008,5.536335492929284e-10,-0.2538000000000008,5.672735748287729e-10,-0.2538000000000008,6.180139032575629e-10
-0.2532000000000008,5.573935868269948e-10,-0.2532000000000008,5.522332981655577e-10,-0.2532000000000008,5.538897133323044e-10,-0.2532000000000008,5.677764712390885e-10,-0.2532000000000008,6.193886531636127e-10
-0.2526000000000008,5.577157096049839e-10,-0.2526000000000008,5.524614359611136e-10,-0.2526000000000008,5.54150871976619e-10,-0.2526000000000008,5.682887889123053e-10,-0.2526000000000008,6.207880435015303e-10
-0.2520000000000008,5.580441633579481e-10,-0.2520000000000008,5.526940942302863e-10,-0.2520000000000008,5.544171199441938e-10,-0.2520000000000008,5.688107030797158e-10,-0.2520000000000008,6.222125204308689e-10
-0.2514000000000008,5.583790698367946e-10,-0.2514000000000008,5.529313591913284e-10,-0.2514000000000008,5.546885537681994e-10,-0.2514000000000008,5.693423921522534e-10,-0.2514000000000008,6.236625380306639e-10
-0.2508000000000009,5.587205532607484e-10,-0.2508000000000009,5.531733195402151e-10,-0.2508000000000009,5.549652714203529e-10,-0.2508000000000009,5.698840380274428e-10,-0.2508000000000009,6.251385593192577e-10
-0.2502000000000009,5.590687395519197e-10,-0.2502000000000009,5.534200648111227e-10,-0.2502000000000009,5.552473734659059e-10,-0.2502000000000009,5.704358260892001e-10,-0.2502000000000009,6.266410553369005e-10
