Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2820000000000003,1.304862845222484e-09,-0.2820000000000003,6.163415692320591e-10,-0.2820000000000003,5.474818208204874e-10,-0.2820000000000003,5.409686506289236e-10,-0.2820000000000003,5.401934617386708e-10
-0.2814000000000003,1.319202987162726e-09,-0.2814000000000003,6.177824896152019e-10,-0.2814000000000003,5.476063187184701e-10,-0.2814000000000003,5.409727309295791e-10,-0.2814000000000003,5.401866460549072e-10
-0.2808000000000003,1.33379738025287e-09,-0.2808000000000003,6.192513561474403e-10,-0.2808000000000003,5.47733368774186e-10,-0.2808000000000003,5.409770602831336e-10,-0.2808000000000003,5.401798713938216e-10
-0.2802000000000003,1.348649784467343e-09,-0.2802000000000003,6.207487115998835e-10,-0.2802000000000003,5.478630198536737e-10,-0.2802000000000003,5.409816431173977e-10,-0.2802000000000003,5.401731379132226e-10
-0.2796000000000003,1.36376398568518e-09,-0.2796000000000003,6.222751090637169e-10,-0.2796000000000003,5.479953210924895e-10,-0.2796000000000003,5.409864839465169e-10,-0.2796000000000003,5.401664461997241e-10
-0.2790000000000004,1.37914379411424e-09,-0.2790000000000004,6.238311124613148e-10,-0.2790000000000004,5.481303231384038e-10,-0.2790000000000004,5.409915871521823e-10,-0.2790000000000004,5.401597962838733e-10
-0.2784000000000004,1.394793043127801e-09,-0.2784000000000004,6.254172971578608e-10,-0.2784000000000004,5.482680771213692e-10,-0.2784000000000004,5.409969572776753e-10,-0.2784000000000004,5.401531887476412e-10
-0.2778000000000004,1.410715588898839e-09,-0.2778000000000004,6.270342490487344e-10,-0.2778000000000004,5.484086356397712e-10,-0.2778000000000004,5.410025992510203e-10,-0.2778000000000004,5.401466240548721e-10
-0.2772000000000004,1.426915308478878e-09,-0.2772000000000004,6.286825659972835e-10,-0.2772000000000004,5.485520519722326e-10,-0.2772000000000004,5.41008517613376e-10,-0.2772000000000004,5.401401024201393e-10
-0.2766000000000004,1.443396099214825e-09,-0.2766000000000004,6.303628572278873e-10,-0.2766000000000004,5.486983804074511e-10,-0.2766000000000004,5.410147174341381e-10,-0.2766000000000004,5.40133624189036e-10
-0.2760000000000004,1.46016187727181e-09,-0.2760000000000004,6.320757441561854e-10,-0.2760000000000004,5.488476764676579e-10,-0.2760000000000004,5.410212033611814e-10,-0.2760000000000004,5.401271900790126e-10
-0.2754000000000004,1.477216576916803e-09,-0.2754000000000004,6.338218599914976e-10,-0.2754000000000004,5.48999996805215e-10,-0.2754000000000004,5.410279808465763e-10,-0.2754000000000004,5.401208002363463e-10
-0.2748000000000004,1.49456414800769e-09,-0.2748000000000004,6.356018505457134e-10,-0.2748000000000004,5.491553988000522e-10,-0.2748000000000004,5.410350547364333e-10,-0.2748000000000004,5.401144551310985e-10
-0.2742000000000004,1.512208556383868e-09,-0.2742000000000004,6.374163741239029e-10,-0.2742000000000004,5.493139414057033e-10,-0.2742000000000004,5.410424305223401e-10,-0.2742000000000004,5.401081551675531e-10
