Iout (IBIAS=2e-09) X,Iout (IBIAS=2e-09) Y,Iout (IBIAS=5e-09) X,Iout (IBIAS=5e-09) Y,Iout (IBIAS=1e-08) X,Iout (IBIAS=1e-08) Y,Iout (IBIAS=1.5e-08) X,Iout (IBIAS=1.5e-08) Y,Iout (IBIAS=2.5e-08) X,Iout (IBIAS=2.5e-08) Y
-0.2826000000000003,5.137525912054361e-10,-0.2826000000000003,5.354164000438914e-10,-0.2826000000000003,5.473598277039699e-10,-0.2826000000000003,5.544243693430445e-10,-0.2826000000000003,5.651253475415701e-10
-0.2820000000000003,5.137680379950904e-10,-0.2820000000000003,5.354708349392971e-10,-0.2820000000000003,5.474818208204874e-10,-0.2820000000000003,5.54615193170828e-10,-0.2820000000000003,5.654557173979731e-10
-0.2814000000000003,5.137839356761748e-10,-0.2814000000000003,5.355264769008203e-10,-0.2814000000000003,5.476063187184701e-10,-0.2814000000000003,5.548098429027656e-10,-0.2814000000000003,5.657925978556951e-10
-0.2808000000000003,5.138002923559672e-10,-0.2808000000000003,5.355833489909825e-10,-0.2808000000000003,5.47733368774186e-10,-0.2808000000000003,5.550083914247175e-10,-0.2808000000000003,5.661361140874932e-10
-0.2802000000000003,5.138171162283342e-10,-0.2802000000000003,5.35641474172112e-10,-0.2802000000000003,5.478630198536737e-10,-0.2802000000000003,5.552109136624221e-10,-0.2802000000000003,5.66486393670454e-10
-0.2796000000000003,5.138344161300865e-10,-0.2796000000000003,5.357008759824623e-10,-0.2796000000000003,5.479953210924895e-10,-0.2796000000000003,5.554174853156472e-10,-0.2796000000000003,5.668435665928723e-10
-0.2790000000000004,5.138522004848992e-10,-0.2790000000000004,5.357615783378102e-10,-0.2790000000000004,5.481303231384038e-10,-0.2790000000000004,5.556281834525023e-10,-0.2790000000000004,5.672077656581517e-10
-0.2784000000000004,5.138704783686908e-10,-0.2784000000000004,5.35823605959796e-10,-0.2784000000000004,5.482680771213692e-10,-0.2784000000000004,5.558430872970995e-10,-0.2784000000000004,5.67579125950261e-10
-0.2778000000000004,5.138892586928058e-10,-0.2778000000000004,5.358869837722761e-10,-0.2778000000000004,5.484086356397712e-10,-0.2778000000000004,5.560622773307238e-10,-0.2778000000000004,5.679577852960937e-10
-0.2772000000000004,5.139085508690714e-10,-0.2772000000000004,5.35951737087864e-10,-0.2772000000000004,5.485520519722326e-10,-0.2772000000000004,5.562858352664049e-10,-0.2772000000000004,5.683438844361238e-10
-0.2766000000000004,5.13928364056629e-10,-0.2766000000000004,5.360178918365561e-10,-0.2766000000000004,5.486983804074511e-10,-0.2766000000000004,5.565138448906379e-10,-0.2766000000000004,5.68737566528844e-10
-0.2760000000000004,5.139487081503486e-10,-0.2760000000000004,5.360854746477317e-10,-0.2760000000000004,5.488476764676579e-10,-0.2760000000000004,5.567463910899941e-10,-0.2760000000000004,5.691389776350596e-10
-0.2754000000000004,5.13969592653537e-10,-0.2754000000000004,5.361545123531626e-10,-0.2754000000000004,5.48999996805215e-10,-0.2754000000000004,5.569835610160444e-10,-0.2754000000000004,5.695482667680957e-10
-0.2748000000000004,5.139910274754154e-10,-0.2748000000000004,5.362250322914547e-10,-0.2748000000000004,5.491553988000522e-10,-0.2748000000000004,5.572254429325913e-10,-0.2748000000000004,5.699655858361516e-10
-0.2742000000000004,5.140130231563159e-10,-0.2742000000000004,5.362970625509277e-10,-0.2742000000000004,5.493139414057033e-10,-0.2742000000000004,5.574721271727083e-10,-0.2742000000000004,5.703910895672787e-10
-0.2736000000000005,5.140355896008644e-10,-0.2736000000000005,5.3637063152954e-10,-0.2736000000000005,5.494756841204825e-10,-0.2736000000000005,5.577237054416445e-10,-0.2736000000000005,5.708249358928471e-10
-0.2730000000000005,5.140587375953629e-10,-0.2730000000000005,5.364457684776632e-10,-0.2730000000000005,5.496406883124221e-10,-0.2730000000000005,5.579802718422233e-10,-0.2730000000000005,5.712672859042234e-10
-0.2724000000000005,5.140824779367131e-10,-0.2724000000000005,5.365225028927771e-10,-0.2724000000000005,5.498090160578061e-10,-0.2724000000000005,5.582419219073767e-10,-0.2724000000000005,5.717183034709869e-10
-0.2718000000000005,5.141068212834359e-10,-0.2718000000000005,5.366008650737858e-10,-0.2718000000000005,5.499807306256245e-10,-0.2718000000000005,5.585087529348826e-10,-0.2718000000000005,5.721781561158182e-10
-0.2712000000000005,5.141317790945673e-10,-0.2712000000000005,5.366808856956604e-10,-0.2712000000000005,5.501558967417867e-10,-0.2712000000000005,5.587808642024972e-10,-0.2712000000000005,5.726470142611587e-10
-0.2706000000000005,5.141573626144725e-10,-0.2706000000000005,5.367625960343543e-10,-0.2706000000000005,5.503345803002046e-10,-0.2706000000000005,5.590583569706811e-10,-0.2706000000000005,5.731250519757846e-10
-0.2700000000000005,5.141835834245913e-10,-0.2700000000000005,5.368460283499664e-10,-0.2700000000000005,5.505168481969347e-10,-0.2700000000000005,5.593413345073643e-10,-0.2700000000000005,5.736124467945058e-10
-0.2694000000000005,5.142104533829973e-10,-0.2694000000000005,5.369312148863753e-10,-0.2694000000000005,5.507027689954066e-10,-0.2694000000000005,5.596299019657509e-10,-0.2694000000000005,5.741093793496187e-10
-0.2688000000000005,5.142379846336893e-10,-0.2688000000000005,5.370181890923638e-10,-0.2688000000000005,5.508924124776658e-10,-0.2688000000000005,5.599241666273368e-10,-0.2688000000000005,5.746160340753163e-10
-0.2682000000000005,5.142661891532048e-10,-0.2682000000000005,5.371069847212274e-10,-0.2682000000000005,5.510858496257415e-10,-0.2682000000000005,5.602242379475838e-10,-0.2682000000000005,5.751325990872413e-10
-0.2676000000000006,5.142950798662731e-10,-0.2676000000000006,5.371976363082147e-10,-0.2676000000000006,5.512831529440421e-10,-0.2676000000000006,5.605302269406138e-10,-0.2676000000000006,5.756592659359361e-10
-0.2670000000000006,5.143246691806137e-10,-0.2670000000000006,5.372901788235039e-10,-0.2670000000000006,5.514843961683855e-10,-0.2670000000000006,5.608422476566603e-10,-0.2670000000000006,5.761962302220744e-10
-0.2664000000000006,5.143549701382902e-10,-0.2664000000000006,5.373846483120311e-10,-0.2664000000000006,5.516896548729052e-10,-0.2664000000000006,5.61160416048669e-10,-0.2664000000000006,5.767436913540883e-10
-0.2658000000000006,5.143859962627437e-10,-0.2658000000000006,5.374810813299921e-10,-0.2658000000000006,5.518990055937114e-10,-0.2658000000000006,5.614848497115874e-10,-0.2658000000000006,5.773018523997748e-10
